,name,last_name,stance,wins,losses,SLpM,fights,tko_win_ratio
1957,Jason,MacDonald,Orthodox,25,16,1.55,41,0.33
1959,Rory,MacDonald,Orthodox,19,4,3.75,23,0.33
1965,Lyoto,Machida,Southpaw,24,8,2.59,32,0.42
1983,Neil,Magny,Orthodox,25,9,3.67,34,0.28
1985,Rashid,Magomedov,Orthodox,20,2,4.4,22,0.2
1988,Zabit,Magomedsharipov,Orthodox,18,1,4.89,19,0.0
1995,Demian,Maia,Southpaw,28,11,1.8,39,0.05
1998,John,Makdessi,Orthodox,18,7,5.57,25,0.27
1999,Islam,Makhachev,Southpaw,22,1,2.27,23,0.18
2003,Fabio,Maldonado,Orthodox,23,11,5.29,34,0.4
2014,Melvin,Manhoef,Orthodox,30,14,3.52,44,1.0
2019,Jimi,Manuwa,Orthodox,17,6,3.43,23,0.83
2026,Randa,Markos,Orthodox,11,12,2.97,23,0.0
2028,Nate,Marquardt,Orthodox,35,19,2.71,54,0.5
2044,Anthony Rocco,Martin,Orthodox,17,6,2.68,23,0.11
2051,Jonathan,Martinez,Southpaw,15,4,4.58,19,0.33
2058,Adriano,Martins,Southpaw,28,9,1.8,37,0.4
2066,Jorge,Masvidal,Orthodox,35,15,4.22,50,0.41
2073,Jake,Matthews,Orthodox,17,5,3.03,22,0.1
2077,Vladimir,Matyushenko,Orthodox,27,8,1.9,35,0.38
2084,Gray,Maynard,Orthodox,13,7,1.92,20,0.09
2097,Rob,McCullough,Orthodox,19,8,2.47,27,0.2
2102,Michael,McDonald,Orthodox,17,4,2.69,21,0.29
2109,Court,McGee,Orthodox,22,10,4.69,32,0.0
2113,Conor,McGregor,Southpaw,22,6,5.32,28,0.8
2125,Sara,McMann,Orthodox,12,6,2.32,18,0.1
2129,Tim,Means,Orthodox,32,12,5.06,44,0.36
2130,Yancy,Medeiros,Orthodox,15,8,4.36,23,0.38
2138,Gerald,Meerschaert,Southpaw,34,14,3.11,48,0.11
2142,Jordan,Mein,Orthodox,31,12,3.35,43,0.43
2146,Gilbert,Melendez,Orthodox,22,8,3.44,30,0.47
2151,Chad,Mendes,Orthodox,18,5,2.78,23,0.46
2156,Alonzo,Menifield,Orthodox,11,3,3.86,14,0.67
2166,Guy,Mezger,Orthodox,30,14,2.3,44,0.5
2178,Pat,Miletich,Orthodox,29,7,1.79,36,0.25
2181,Jason,Miller,Orthodox,23,10,1.83,33,0.4
2182,Dan,Miller,Orthodox,14,8,2.03,22,0.0
2183,Jim,Miller,Southpaw,34,16,2.78,50,0.22
2184,Cole,Miller,Orthodox,21,11,3.0,32,0.1
2196,Ikuhisa,Minowa,Orthodox,60,42,0.88,102,0.22
2198,Stipe,Miocic,Orthodox,20,4,4.82,24,0.64
2199,Frank,Mir,Southpaw,18,11,2.18,29,0.31
2204,Kazuo,Misaki,Orthodox,25,11,2.85,36,0.17
2212,Bryce,Mitchell,Southpaw,14,1,2.29,15,0.0
2215,Matt,Mitrione,Switch,12,5,3.55,17,0.89
2222,Takeya,Mizugaki,Orthodox,21,11,3.37,32,0.1
2228,Renato,Moicano,Orthodox,16,4,5.12,20,0.0
2229,Thiago,Moises,Orthodox,15,6,2.52,21,0.2
2237,Jeff,Monson,Orthodox,60,26,0.97,86,0.17
2251,Sergio,Moraes,Orthodox,14,6,2.42,20,0.12
2252,Marlon,Moraes,Orthodox,23,9,3.34,32,0.4
2254,John,Moraga,Orthodox,19,7,2.57,26,0.25
2269,Brandon,Moreno,Orthodox,19,6,3.54,25,0.14
2274,Alex,Morono,Orthodox,21,7,5.21,28,0.2
2275,Maryna,Moroz,Orthodox,10,3,4.09,13,0.0
2285,Gegard,Mousasi,Orthodox,42,6,3.75,48,0.55
2292,Belal,Muhammad,Orthodox,20,3,4.55,23,0.09
2298,Pedro,Munhoz,Orthodox,19,7,5.5,26,0.33
2299,Andre,Muniz,Southpaw,22,4,2.18,26,0.0
2300,Mark,Munoz,Orthodox,14,6,3.12,20,0.55
2313,Lauren,Murphy,Orthodox,15,5,3.58,20,0.29
2336,Kazuhiro,Nakamura,Orthodox,21,13,1.56,34,0.17
2337,Keita,Nakamura,Southpaw,34,10,2.23,44,0.0
2344,Rose,Namajunas,Orthodox,12,4,4.01,16,0.22
2355,Rafael,Natal,Orthodox,21,9,3.1,30,0.11
2364,Geoff,Neal,Southpaw,14,4,4.63,18,0.57
2366,Josh,Neer,Orthodox,36,16,3.29,52,0.17
2370,Roy,Nelson,Orthodox,22,14,2.18,36,0.89
2371,Gunnar,Nelson,Switch,17,5,1.71,22,0.0
2380,Carlos,Newton,Orthodox,16,14,0.65,30,0.0
2382,Francis,Ngannou,Orthodox,17,3,2.33,20,0.83
2387,Matheus,Nicolau,Orthodox,17,3,3.88,20,0.0
2391,Ramsey,Nijem,Orthodox,9,6,3.05,15,0.4
2399,Anthony,Njokuani,Orthodox,16,12,3.94,28,0.71
2405,Antonio Rodrigo,Nogueira,Orthodox,34,10,1.95,44,0.13
2406,Rogerio,Nogueira,Southpaw,23,10,2.43,33,0.42
2409,Kyle,Noke,Southpaw,22,10,3.23,32,0.57
2411,KJ,Noons,Orthodox,13,9,3.68,22,0.56
2412,Sage,Northcutt,Orthodox,11,2,3.58,13,0.33
2419,Diego,Nunes,Orthodox,19,7,2.72,26,0.0
2420,Amanda,Nunes,Orthodox,21,5,4.55,26,0.53
2424,Khabib,Nurmagomedov,Orthodox,29,0,4.1,29,0.15
2428,Kennedy,Nzechukwu,Southpaw,9,2,4.86,11,0.6
2434,Sean,O'Malley,Switch,15,1,8.26,16,0.75
2443,Volkan,Oezdemir,Orthodox,17,6,4.75,23,0.6
2450,Yushin,Okami,Southpaw,34,12,2.06,46,0.31
2454,Aleksei,Oleinik,Orthodox,59,16,3.55,75,0.12
2457,Charles,Oliveira,Orthodox,32,8,3.44,40,0.15
2460,Alex,Oliveira,Orthodox,22,11,2.97,33,0.36
2479,Brian,Ortega,Switch,15,2,4.15,17,0.43
2480,Tito,Ortiz,Orthodox,19,12,2.59,31,0.53
2482,Dustin,Ortiz,Orthodox,19,8,2.94,27,0.5
2495,Alistair,Overeem,Orthodox,47,19,3.67,66,0.61
2517,Bart,Palaszewski,Orthodox,36,17,2.67,53,0.6
2520,Rousimar,Palhares,Orthodox,19,8,1.75,27,0.0
2524,Alexandre,Pantoja,Orthodox,24,5,4.24,29,0.25
2532,Karo,Parisyan,Orthodox,24,11,2.49,35,0.12
2536,Norman,Parke,Southpaw,23,6,3.06,29,0.2
2550,Alan,Patrick,Southpaw,15,3,1.76,18,0.2
2561,Ross,Pearson,Orthodox,20,16,3.68,36,0.42
2568,Kurt,Pellegrino,Orthodox,16,7,2.45,23,0.12
2570,Julianna,Pena,Orthodox,12,4,3.36,16,0.29
2571,Luis,Pena,Southpaw,9,3,3.66,12,0.2
2575,BJ,Penn,Orthodox,16,14,2.76,30,0.44
2576,Jessica,Penne,Orthodox,14,6,2.41,20,0.17
2579,Raquel,Pennington,Orthodox,13,9,3.66,22,0.0
2581,Godofredo,Pepey,Orthodox,13,6,2.32,19,0.2
2583,Robert,Peralta,Orthodox,18,8,3.76,26,0.4
2585,Michel,Pereira,Orthodox,27,11,4.71,38,0.2
2590,Erik,Perez,Orthodox,17,6,3.16,23,0.29
2591,Alejandro,Perez,Orthodox,23,9,3.45,32,0.38
2594,Alex,Perez,Orthodox,24,6,4.62,30,0.29
2596,Anthony,Perosh,Orthodox,15,10,2.27,25,0.4
2600,Mike,Perry,Orthodox,14,8,4.32,22,0.57
2612,Anthony,Pettis,Orthodox,24,10,3.05,34,0.25
2613,Sergio,Pettis,Orthodox,18,5,3.88,23,0.0
2618,Constantinos,Philippou,Orthodox,13,5,2.19,18,0.5
2624,Kyler,Phillips,Orthodox,10,2,5.5,12,0.4
2627,Vinc,Pichel,Orthodox,14,2,3.42,16,0.14
2628,Brad,Pickett,Orthodox,25,14,3.02,39,0.12
2632,Mike,Pierce,Orthodox,17,7,2.62,24,0.4
2646,Dustin,Poirier,Southpaw,28,7,5.61,35,0.52
2652,Santiago,Ponzinibbio,Orthodox,29,5,4.79,34,0.5
2664,Trevor,Prangley,Orthodox,34,11,2.59,45,0.0
2667,Michel,Prazeres,Orthodox,26,4,2.38,30,0.0
2672,Niko,Price,Orthodox,15,5,5.16,20,0.57
2687,Jens,Pulver,Southpaw,27,19,2.12,46,0.5
2690,Mike,Pyle,Orthodox,27,14,2.74,41,0.36
2694,Billy,Quarantillo,Orthodox,16,4,7.74,20,0.6
2695,Nate,Quarry,Open Stance,12,4,4.96,16,0.71
2702,Jose,Quinonez,Southpaw,9,5,3.6,14,0.0
2711,Aleksandar,Rakic,Orthodox,14,2,4.23,16,0.33
2721,Ricardo,Ramos,Orthodox,15,4,3.32,19,0.17
2724,Kevin,Randleman,Orthodox,17,16,1.26,33,0.38
2733,Stevie,Ray,Southpaw,23,9,3.73,32,0.29
2736,Abdul,Razak Alhassan,Orthodox,11,5,3.57,16,1.0
2750,Wilson,Reis,Southpaw,23,10,1.83,33,0.0
2755,Marion,Reneau,Orthodox,9,8,3.2,17,0.4
2760,Dominick,Reyes,Southpaw,12,3,4.77,15,0.5
2768,Amanda,Ribas,Orthodox,11,2,4.65,13,0.0
2780,Matthew,Riddle,Southpaw,8,3,3.01,11,0.14
2781,Joe,Riggs,Southpaw,44,17,2.41,61,0.56
2794,Jorge,Rivera,Orthodox,20,9,3.16,29,0.62
2799,Jimmie,Rivera,Orthodox,23,5,4.03,28,0.14
2803,Pedro,Rizzo,Orthodox,20,11,1.93,31,0.78
2807,Karl,Roberson,Southpaw,9,4,2.87,13,0.2
2816,Danny,Roberts,Southpaw,18,5,3.24,23,0.43
2817,Roosevelt,Roberts,Orthodox,10,3,3.14,13,0.0
2819,Gillian,Robertson,Orthodox,10,6,2.23,16,0.14
2828,Luke,Rockhold,Southpaw,16,5,4.18,21,0.4
2833,Ricco,Rodriguez,Orthodox,53,25,1.85,78,0.7
2835,Yair,Rodriguez,Orthodox,14,3,4.65,17,0.38
2837,Marina,Rodriguez,Orthodox,15,1,5.05,16,0.29
2838,Daniel,Rodriguez,Southpaw,16,2,8.06,18,0.29
2847,Marcos,Rogerio de Lima,Orthodox,19,8,3.39,27,0.62
2853,Shane,Roller,Orthodox,11,7,2.04,18,0.12
2858,Yoel,Romero,Southpaw,13,5,3.44,18,0.78
2864,George,Roop,Orthodox,15,13,3.43,28,0.5
2867,Charles,Rosa,Switch,14,7,3.05,21,0.0
2872,Jared,Rosholt,Orthodox,14,4,2.08,18,0.17
2877,Ben,Rothwell,Orthodox,39,14,3.71,53,0.56
2879,Khalil,Rountree Jr.,Southpaw,10,5,3.24,15,0.8
2880,Ronda,Rousey,Orthodox,12,2,4.17,14,0.3
2887,Jairzinho,Rozenstruik,Orthodox,12,3,2.8,15,1.0
2888,Mauricio,Rua,Orthodox,27,12,3.57,39,0.78
2889,Murilo,Rua,Orthodox,20,13,2.48,33,0.5
2890,Marco,Ruas,Orthodox,9,4,0.0,13,0.2
2897,Mike,Russow,Orthodox,15,3,1.55,18,0.4
2904,Amir,Sadollah,Orthodox,6,5,4.71,11,0.17
2905,Frankie,Saenz,Orthodox,13,7,3.94,20,0.0
2907,Tarec,Saffiedine,Switch,16,7,4.05,23,0.11
2910,Ovince,Saint Preux,Southpaw,25,16,2.65,41,0.47
2913,Augusto,Sakai,Orthodox,15,4,5.04,19,0.6
2914,Alessio,Sakara,Orthodox,19,11,3.96,30,0.67
2917,Kazushi,Sakuraba,Southpaw,26,17,1.26,43,0.12
2918,Hayato,Sakurai,Orthodox,38,13,2.45,51,0.47
